Unnamed: 0,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,Full_Departure_Datetime
5620,2017-01-01,EV,20366,EV,N138EV,5579,10135,1013503,30135,10397,30397,ATL,0551,6.0,816.0,10.0,0.0,0.0,0.0,2017-01-01 05:51:00
5797,2017-01-01,EV,20366,EV,N15574,3761,10135,1013503,30135,13930,30977,ORD,0634,9.0,750.0,4.0,0.0,0.0,0.0,2017-01-01 06:34:00
20321,2017-01-02,EV,20366,EV,N12563,3761,10135,1013503,30135,13930,30977,ORD,0627,2.0,832.0,46.0,0.0,0.0,2.0,2017-01-02 06:27:00
20343,2017-01-02,EV,20366,EV,N12900,3982,10135,1013503,30135,13930,30977,ORD,1841,91.0,2000.0,91.0,0.0,0.0,0.0,2017-01-02 18:41:00
20626,2017-01-02,EV,20366,EV,N153PQ,5579,10135,1013503,30135,10397,30397,ATL,0536,-9.0,816.0,8.0,0.0,0.0,0.0,2017-01-02 05:36:00
20813,2017-01-02,EV,20366,EV,N200PQ,5267,10135,1013503,30135,10397,30397,ATL,1714,35.0,1935.0,36.0,0.0,4.0,0.0,2017-01-02 17:14:00
22898,2017-01-02,OO,20304,OO,N453SW,4490,10135,1013503,30135,11433,31295,DTW,0554,-6.0,808.0,16.0,0.0,0.0,0.0,2017-01-02 05:54:00
22988,2017-01-02,OO,20304,OO,N487CA,4493,10135,1013503,30135,11433,31295,DTW,1656,-4.0,1843.0,-6.0,0.0,0.0,0.0,2017-01-02 16:56:00
36429,2017-01-03,EV,20366,EV,N228PQ,5579,10135,1013503,30135,10397,30397,ATL,0544,-1.0,751.0,-17.0,0.0,0.0,0.0,2017-01-03 05:44:00
36472,2017-01-03,EV,20366,EV,N27200,3982,10135,1013503,30135,13930,30977,ORD,1831,81.0,1942.0,73.0,0.0,0.0,0.0,2017-01-03 18:31:00
36545,2017-01-03,EV,20366,EV,N607LR,5267,10135,1013503,30135,10397,30397,ATL,1701,22.0,1915.0,16.0,0.0,0.0,0.0,2017-01-03 17:01:00
38400,2017-01-03,OO,20304,OO,N439SW,4490,10135,1013503,30135,11433,31295,DTW,0605,5.0,752.0,0.0,0.0,0.0,0.0,2017-01-03 06:05:00
38405,2017-01-03,OO,20304,OO,N440SW,4493,10135,1013503,30135,11433,31295,DTW,1655,-5.0,1846.0,-3.0,0.0,0.0,0.0,2017-01-03 16:55:00
51497,2017-01-04,EV,20366,EV,N16559,3761,10135,1013503,30135,13930,30977,ORD,0607,-2.0,716.0,-13.0,0.0,0.0,0.0,2017-01-04 06:07:00
51613,2017-01-04,EV,20366,EV,N200PQ,5267,10135,1013503,30135,10397,30397,ATL,1635,-4.0,1844.0,-15.0,0.0,0.0,0.0,2017-01-04 16:35:00
51643,2017-01-04,EV,20366,EV,N232PQ,5579,10135,1013503,30135,10397,30397,ATL,0544,-1.0,744.0,-24.0,0.0,0.0,0.0,2017-01-04 05:44:00
53515,2017-01-04,OO,20304,OO,N426SW,4493,10135,1013503,30135,11433,31295,DTW,1657,-3.0,1849.0,0.0,0.0,0.0,0.0,2017-01-04 16:57:00
54306,2017-01-04,OO,20304,OO,N8828D,4490,10135,1013503,30135,11433,31295,DTW,0549,-11.0,737.0,-15.0,0.0,0.0,0.0,2017-01-04 05:49:00
66240,2017-01-05,EV,20366,EV,N14542,3761,10135,1013503,30135,13930,30977,ORD,0607,-2.0,724.0,-5.0,0.0,0.0,0.0,2017-01-05 06:07:00
66244,2017-01-05,EV,20366,EV,N14542,3982,10135,1013503,30135,13930,30977,ORD,1707,-8.0,1821.0,-14.0,0.0,0.0,0.0,2017-01-05 17:07:00
66540,2017-01-05,EV,20366,EV,N232PQ,5267,10135,1013503,30135,10397,30397,ATL,1631,-8.0,1835.0,-24.0,0.0,0.0,0.0,2017-01-05 16:31:00
66632,2017-01-05,EV,20366,EV,N538CA,5579,10135,1013503,30135,10397,30397,ATL,0542,-3.0,803.0,-5.0,0.0,0.0,0.0,2017-01-05 05:42:00
