DEP_DELAY,ARR_DELAY,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,Full_Departure_Datetime
6.0,10.0,0,0.0,0.0,2017-01-01 05:51:00
9.0,4.0,0,0.0,0.0,2017-01-01 06:34:00
2.0,46.0,0,0.0,2.0,2017-01-02 06:27:00
91.0,91.0,0,0.0,0.0,2017-01-02 18:41:00
-9.0,8.0,0,0.0,0.0,2017-01-02 05:36:00
35.0,36.0,0,4.0,0.0,2017-01-02 17:14:00
-6.0,16.0,0,0.0,0.0,2017-01-02 05:54:00
-4.0,-6.0,0,0.0,0.0,2017-01-02 16:56:00
-1.0,-17.0,0,0.0,0.0,2017-01-03 05:44:00
81.0,73.0,0,0.0,0.0,2017-01-03 18:31:00
22.0,16.0,0,0.0,0.0,2017-01-03 17:01:00
5.0,0.0,0,0.0,0.0,2017-01-03 06:05:00
-5.0,-3.0,0,0.0,0.0,2017-01-03 16:55:00
-2.0,-13.0,0,0.0,0.0,2017-01-04 06:07:00
-4.0,-15.0,0,0.0,0.0,2017-01-04 16:35:00
-1.0,-24.0,0,0.0,0.0,2017-01-04 05:44:00
-3.0,0.0,0,0.0,0.0,2017-01-04 16:57:00
-11.0,-15.0,0,0.0,0.0,2017-01-04 05:49:00
-2.0,-5.0,0,0.0,0.0,2017-01-05 06:07:00
-8.0,-14.0,0,0.0,0.0,2017-01-05 17:07:00
-8.0,-24.0,0,0.0,0.0,2017-01-05 16:31:00
-3.0,-5.0,0,0.0,0.0,2017-01-05 05:42:00
-1.0,-3.0,0,0.0,0.0,2017-01-05 05:59:00
-5.0,1.0,0,0.0,0.0,2017-01-05 16:55:00
-5.0,7.0,0,0.0,0.0,2017-01-06 05:40:00
0.0,0.0,0,0.0,0.0,2017-01-06 16:39:00
60.0,62.0,0,0.0,0.0,2017-01-06 18:15:00
-5.0,4.0,0,0.0,0.0,2017-01-06 06:04:00
-3.0,8.0,0,0.0,0.0,2017-01-06 16:57:00
-7.0,-4.0,0,0.0,0.0,2017-01-06 05:53:00
-7.0,12.0,0,0.0,0.0,2017-01-07 06:02:00
794.0,786.0,0,0.0,0.0,2017-01-07 19:14:00
-1.0,1.0,0,0.0,0.0,2017-01-07 05:44:00
50.0,26.0,0,26.0,0.0,2017-01-08 07:30:00
139.0,109.0,0,0.0,0.0,2017-01-08 20:19:00
20.0,15.0,0,15.0,0.0,2017-01-08 06:29:00
170.0,169.0,0,0.0,0.0,2017-01-08 20:05:00
-6.0,-8.0,0,0.0,0.0,2017-01-08 12:34:00
0.0,-14.0,0,0.0,0.0,2017-01-08 05:45:00
8.0,8.0,0,0.0,0.0,2017-01-08 17:40:00
1.0,-17.0,0,0.0,0.0,2017-01-09 06:01:00
0.0,18.0,0,0.0,0.0,2017-01-09 17:15:00
-4.0,43.0,0,0.0,0.0,2017-01-09 06:05:00
23.0,-7.0,0,0.0,0.0,2017-01-09 18:23:00
109.0,74.0,0,0.0,0.0,2017-01-09 14:51:00
56.0,73.0,0,56.0,0.0,2017-01-09 06:41:00
2.0,-4.0,0,0.0,0.0,2017-01-09 12:42:00
